/* DATA DESCRIPTION:
Citation:	Antico, Andrés; Aguiar, Ricardo O; Amsler, Mario L (2017): Paraná River daily hydrometric data from Rosario City, Argentina: 1875 to 2017. PANGAEA, https://doi.org/10.1594/PANGAEA.882611, 
	In supplement to: Antico, A et al. (2018): Hydrometric data rescue in the Paraná River Basin. Water Resources Research, 54, 1368-1381, https://doi.org/10.1002/2017WR020897
Coverage:	LATITUDE: -32.933630 * LONGITUDE: -60.643550
	DATE/TIME START: 1875-01-01T00:00:00 * DATE/TIME END: 2017-07-31T00:00:00
Event(s):	Paraná_River_Rosario * LATITUDE: -32.933630 * LONGITUDE: -60.643550 * LOCATION: Rosario City, Argentina, South America * METHOD/DEVICE: Hydrographic station (HYD)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar)
	Water level [m] (WL) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: daily, official
	Water level [m] (WL) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: daily, corrected
	River discharge [m**3/s] (Q) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: daily, official
	River discharge [m**3/s] (Q) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: daily, corrected
	Quality flag [#] (Flag) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: Flag = 1 if the data value passed all the quality checks, and Flag = 0 if the data value did not pass one or more of these checks. That is, if Flag = 0, the data value is considered as suspicious
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	260385 data points
*/
Date/Time	WL [m] (daily, official)	WL [m] (daily, corrected)	Q [m**3/s] (daily, official)	Q [m**3/s] (daily, corrected)	Flag [#] (Flag = 1 if the data value pa...)
1887-12-09	1.90	2.26	13426	14553	1
1887-12-10	1.86	2.22	13302	14424	1
1887-12-11	1.91	2.27	13457	14585	1
1887-12-12	1.89	2.25	13395	14520	1
1887-12-13	1.83	2.19	13210	14328	1
1887-12-14	1.79	2.15	13087	14200	1
1887-12-15	1.83	2.19	13210	14328	1
1887-12-16	1.95	2.31	13582	14713	1
1887-12-17	2.00	2.36	13738	14875	1
1887-12-18	2.20	2.56	14372	15530	1
1887-12-19	2.35	2.71	14855	16030	1
1887-12-20	2.38	2.74	14953	16130	1
1887-12-21	2.40	2.76	15018	16198	1
1887-12-22	2.44	2.80	15148	16333	1
1887-12-23	2.40	2.76	15018	16197	1
1887-12-24	2.56	2.92	15543	16740	1
1887-12-25	2.60	2.96	15676	16877	1
1887-12-26	2.65	3.01	15843	17049	1
1887-12-27	2.70	3.06	16010	17222	1
1887-12-28	2.75	3.11	16178	17395	1
1887-12-29	2.80	3.16	16347	17569	1
1887-12-30	2.87	3.23	16584	17814	1
1887-12-31	2.93	3.29	16789	18026	1
1888-01-01	2.97	3.33	16926	18167	1
1888-01-02	3.04	3.40	17168	18416	1
1888-01-03	3.06	3.42	17237	18487	1
1888-01-04	3.13	3.49	17480	18738	1
1888-01-05	3.16	3.52	17585	18846	1
1888-01-06	3.19	3.55	17690	18954	1
1888-01-07	3.26	3.62	17936	19208	1
1888-01-08	3.26	3.62	17936	19208	1
1888-01-09	3.25	3.61	17901	19171	1
1888-01-10	3.31	3.66	18113	19389	1
1888-01-11	3.35	3.70	18255	19536	1
1888-01-12	3.37	3.72	18326	19609	1
1888-01-13	3.39	3.74	18397	19682	1
1888-01-14	3.42	3.77	18504	19792	1
1888-01-15	3.44	3.79	18576	19866	1
1888-01-16	3.45	3.80	18612	19903	1
1888-01-17	3.46	3.81	18647	19939	1
1888-01-18	3.46	3.81	18647	19939	1
1888-01-19	3.46	3.81	18647	19939	1
1888-01-20	3.46	3.81	18647	19939	1
1888-01-21	3.46	3.81	18647	19939	1
1888-01-22	3.46	3.81	18647	19939	1
1888-01-23	3.47	3.82	18683	19975	1
1888-01-24	3.58	3.93	19080	20384	1
1888-01-25	3.56	3.91	19008	20309	1
1888-01-26	3.56	3.91	19008	20309	1
1888-01-27	3.55	3.90	18972	20272	1
1888-01-28	3.54	3.89	18935	20234	1
1888-01-29	3.52	3.87	18863	20160	1
1888-01-30	3.54	3.89	18935	20234	1
1888-01-31	3.47	3.82	18683	19974	1
1888-02-01	3.50	3.85	18791	20085	1
1888-02-02	3.47	3.82	18683	19974	1
1888-02-03	3.48	3.83	18719	20011	1
1888-02-04	3.48	3.83	18719	20011	1
1888-02-05	3.43	3.78	18540	19826	1
1888-02-06	3.43	3.78	18540	19825	1
1888-02-07	3.30	3.65	18077	19348	1
1888-02-08	3.22	3.57	17795	19057	1
1888-02-09	3.17	3.52	17620	18876	1
1888-02-10	3.14	3.49	17515	18768	1
1888-02-11	3.05	3.40	17202	18445	1
1888-02-12	2.95	3.30	16858	18090	1
1888-02-13	2.84	3.19	16482	17702	1
1888-02-14	2.72	3.07	16077	17284	1
1888-02-15	2.58	2.93	15610	16801	1
1888-02-16	2.49	2.84	15312	16494	1
1888-02-17	2.38	2.73	14953	16122	1
1888-02-18	2.27	2.62	14597	15753	1
1888-02-19	2.26	2.61	14564	15720	1
1888-02-20	2.22	2.57	14436	15587	1
1888-02-21	2.17	2.52	14276	15422	1
1888-02-22	2.10	2.45	14054	15191	1
1888-02-23	2.20	2.55	14372	15520	1
1888-02-24	2.21	2.56	14404	15553	1
1888-02-25	2.15	2.50	14212	15355	1
1888-02-26	2.10	2.45	14054	15191	1
1888-02-27	2.11	2.46	14085	15223	1
1888-02-28	2.12	2.47	14117	15256	1
1888-02-29	2.25	2.60	14532	15685	1
1888-03-01	2.19	2.54	14340	15486	1
1888-03-02	2.27	2.62	14597	15751	1
1888-03-03	2.26	2.61	14564	15718	1
1888-03-04	2.30	2.65	14693	15851	1
1888-03-05	2.32	2.67	14758	15918	1
1888-03-06	2.33	2.68	14790	15951	1
1888-03-07	2.38	2.73	14953	16119	1
1888-03-08	2.45	2.80	15181	16355	1
1888-03-09	2.59	2.94	15643	16832	1
1888-03-10	2.66	3.01	15876	17072	1
1888-03-11	2.65	3.00	15843	17038	1
1888-03-12	2.68	3.03	15943	17141	1
1888-03-13	2.68	3.03	15943	17141	1
1888-03-14	2.69	3.04	15976	17175	1
1888-03-15	2.66	3.01	15876	17071	1
1888-03-16	2.69	3.04	15976	17175	1
1888-03-17	2.73	3.08	16111	17313	1
1888-03-18	2.71	3.06	16043	17244	1
1888-03-19	2.67	3.02	15909	17105	1
1888-03-20	2.61	2.96	15709	16899	1
1888-03-21	2.53	2.88	15444	16625	1
1888-03-22	2.45	2.80	15181	16353	1
1888-03-23	2.36	2.71	14888	16049	1
1888-03-24	2.25	2.60	14532	15682	1
1888-03-25	2.15	2.50	14212	15351	1
1888-03-26	2.02	2.37	13801	14925	1
1888-03-27	1.91	2.26	13457	14569	1
1888-03-28	1.80	2.15	13117	14217	1
1888-03-29	1.75	2.10	12964	14058	1
1888-03-30	1.70	2.05	12811	13900	1
1888-03-31	1.70	2.05	12811	13900	1
1888-04-01	1.70	2.05	12811	13900	1
1888-04-02	1.76	2.11	12995	14089	1
1888-04-03	1.71	2.06	12842	13931	1
1888-04-04	1.76	2.11	12995	14089	1
1888-04-05	1.84	2.19	13241	14344	1
1888-04-06	1.89	2.24	13395	14504	1
1888-04-07	1.95	2.30	13582	14697	1
1888-04-08	2.05	2.40	13896	15021	1
1888-04-09	2.15	2.50	14212	15349	1
1888-04-10	2.18	2.53	14308	15447	1
1888-04-11	2.26	2.61	14564	15712	1
1888-04-12	2.32	2.67	14758	15912	1
1888-04-13	2.37	2.72	14920	16080	1
1888-04-14	2.45	2.80	15181	16349	1
1888-04-15	2.51	2.86	15378	16553	1
1888-04-16	2.53	2.88	15444	16621	1
1888-04-17	2.58	2.93	15610	16791	1
1888-04-18	2.64	2.99	15809	16997	1
1888-04-19	2.66	3.01	15876	17066	1
1888-04-20	2.64	2.99	15809	16997	1
1888-04-21	2.74	3.09	16144	17343	1
1888-04-22	2.68	3.03	15943	17135	1
1888-04-23	2.62	2.97	15743	16928	1
1888-04-24	2.56	2.91	15543	16722	1
1888-04-25	2.54	2.89	15477	16653	1
1888-04-26	2.49	2.84	15312	16483	1
1888-04-27	2.47	2.82	15247	16415	1
1888-04-28	2.47	2.82	15247	16415	1
1888-04-29	2.43	2.78	15116	16279	1
1888-04-30	2.37	2.72	14920	16077	1
1888-05-01	2.28	2.63	14629	15776	1
1888-05-02	2.25	2.60	14532	15676	1
1888-05-03	2.10	2.45	14054	15181	1
1888-05-04	2.00	2.35	13738	14855	1
1888-05-05	1.92	2.27	13488	14596	1
1888-05-06	1.88	2.23	13364	14467	1
1888-05-07	1.85	2.20	13271	14371	1
1888-05-08	1.80	2.15	13117	14211	1
1888-05-09	1.74	2.09	12933	14021	1
1888-05-10	1.72	2.07	12872	13958	1
1888-05-11	1.70	2.05	12811	13894	1
1888-05-12	1.72	2.07	12872	13957	1
1888-05-13	1.76	2.11	12995	14084	1
1888-05-14	1.76	2.11	12995	14084	1
1888-05-15	1.73	2.08	12903	13988	1
1888-05-16	1.70	2.05	12811	13894	1
1888-05-17	1.72	2.07	12872	13957	1
1888-05-18	1.83	2.18	13210	14306	1
1888-05-19	1.95	2.30	13582	14691	1
1888-05-20	2.04	2.39	13864	14983	1
1888-05-21	2.17	2.52	14276	15408	1
1888-05-22	2.25	2.60	14532	15673	1
1888-05-23	2.30	2.65	14693	15839	1
1888-05-24	2.35	2.70	14855	16006	1
1888-05-25	2.45	2.80	15181	16343	1
1888-05-26	2.54	2.89	15477	16649	1
1888-05-27	2.55	2.90	15510	16683	1
1888-05-28	2.56	2.91	15543	16717	1
1888-05-29	2.61	2.96	15709	16888	1
1888-05-30	2.61	2.96	15709	16888	1
1888-05-31	2.64	2.99	15809	16991	1
1888-06-01	2.67	3.02	15909	17094	1
1888-06-02	2.72	3.07	16077	17267	1
1888-06-03	2.85	3.20	16516	17720	1
1888-06-04	2.93	3.28	16789	18001	1
1888-06-05	3.00	3.35	17030	18249	1
1888-06-06	3.01	3.36	17064	18285	1
1888-06-07	3.10	3.45	17376	18606	1
1888-06-08	3.15	3.50	17550	18785	1
1888-06-09	3.20	3.55	17725	18965	1
1888-06-10	3.24	3.59	17866	19110	1
1888-06-11	3.25	3.60	17901	19146	1
1888-06-12	3.25	3.60	17901	19146	1
1888-06-13	3.35	3.70	18255	19511	1
1888-06-14	3.40	3.75	18433	19694	1
1888-06-15	3.40	3.75	18433	19694	1
1888-06-16	3.38	3.73	18361	19620	1
1888-06-17	3.42	3.77	18504	19767	1
1888-06-18	3.52	3.87	18863	20137	1
1888-06-19	3.58	3.93	19080	20360	1
1888-06-20	3.55	3.90	18972	20248	1
1888-06-21	3.55	3.90	18972	20248	1
1888-06-22	3.55	3.90	18972	20248	1
1888-06-23	3.63	3.98	19262	20546	1
1888-06-24	3.68	4.03	19444	20734	1
1888-06-25	3.70	4.05	19517	20809	1
1888-06-26	3.70	4.05	19517	20809	1
1888-06-27	3.66	4.01	19371	20658	1
1888-06-28	3.64	3.99	19298	20583	1
1888-06-29	3.59	3.94	19117	20396	1
1888-06-30	3.54	3.89	18935	20209	1
1888-07-01	3.50	3.85	18791	20060	1
1888-07-02	3.38	3.73	18361	19618	1
1888-07-03	3.27	3.62	17971	19215	1
1888-07-04	3.15	3.50	17550	18781	1
1888-07-05	3.00	3.35	17030	18244	1
1888-07-06	2.85	3.20	16516	17715	1
1888-07-07	2.76	3.11	16212	17400	1
1888-07-08	2.57	2.92	15577	16745	1
1888-07-09	2.45	2.80	15181	16336	1
1888-07-10	2.35	2.70	14855	16000	1
1888-07-11	2.17	2.52	14276	15401	1
1888-07-12	2.13	2.48	14149	15269	1
1888-07-13	2.10	2.45	14054	15171	1
1888-07-14	2.00	2.35	13738	14845	1
1888-07-15	1.91	2.26	13457	14554	1
1888-07-16	1.80	2.15	13117	14202	1
1888-07-17	1.70	2.05	12811	13885	1
1888-07-18	1.60	1.95	12508	13571	1
1888-07-19	1.43	1.78	12001	13045	1
1888-07-20	1.40	1.75	11912	12953	1
1888-07-21	1.32	1.67	11677	12709	1
1888-07-22	1.25	1.60	11473	12498	1
1888-07-23	1.18	1.53	11270	12287	1
1888-07-24	1.14	1.49	11155	12168	1
1888-07-25	1.14	1.49	11155	12168	1
1888-07-26	1.05	1.40	10898	11901	1
1888-07-27	0.87	1.22	10391	11375	1
1888-07-28	0.86	1.21	10364	11346	1
1888-07-29	0.87	1.22	10391	11375	1
1888-07-30	0.87	1.22	10391	11374	1
1888-07-31	0.79	1.14	10169	11144	1
1888-08-01	0.68	1.03	9867	10830	1
1888-08-02	0.65	1.00	9786	10745	1
1888-08-03	0.60	0.95	9650	10604	1
1888-08-04	0.55	0.90	9515	10463	1
1888-08-05	0.46	0.81	9275	10213	1
1888-08-06	0.50	0.85	9381	10324	1
1888-08-07	0.54	0.89	9488	10435	1
1888-08-08	0.54	0.89	9488	10435	1
1888-08-09	0.57	0.92	9569	10519	1
1888-08-10	0.70	1.05	9922	10886	1
1888-08-11	0.61	0.96	9677	10631	1
1888-08-12	0.67	1.02	9840	10800	1
1888-08-13	0.70	1.05	9922	10885	1
1888-08-14	0.90	1.25	10475	11459	1
1888-08-15	1.05	1.40	10898	11898	1
1888-08-16	1.18	1.53	11270	12284	1
1888-08-17	1.15	1.50	11184	12195	1
1888-08-18	1.05	1.40	10898	11898	1
1888-08-19	0.95	1.30	10615	11604	1
1888-08-20	0.85	1.20	10336	11314	1
1888-08-21	0.82	1.17	10252	11227	1
1888-08-22	0.77	1.12	10114	11084	1
1888-08-23	0.77	1.11	10114	11084	1
1888-08-24	0.80	1.14	10197	11169	1
1888-08-25	0.86	1.20	10364	11342	1
1888-08-26	0.94	1.28	10587	11574	1
1888-08-27	0.94	1.28	10587	11574	1
1888-08-28	1.00	1.34	10756	11750	1
1888-08-29	1.04	1.38	10870	11867	1
1888-08-30	1.06	1.40	10927	11926	1
1888-08-31	1.08	1.42	10984	11985	1
1888-09-01	1.08	1.42	10984	11985	1
1888-09-02	1.04	1.38	10870	11866	1
1888-09-03	1.00	1.34	10756	11749	1
1888-09-04	1.00	1.34	10756	11749	1
1888-09-05	0.95	1.29	10615	11602	1
1888-09-06	0.90	1.24	10475	11457	1
1888-09-07	0.85	1.19	10336	11312	1
1888-09-08	0.80	1.14	10197	11168	1
1888-09-09	0.70	1.04	9922	10882	1
1888-09-10	0.64	0.98	9759	10712	1
1888-09-11	0.64	0.98	9759	10712	1
1888-09-12	0.70	1.04	9922	10881	1
1888-09-13	0.77	1.11	10114	11081	1
1888-09-14	0.88	1.22	10419	11398	1
1888-09-15	1.00	1.34	10756	11747	1
1888-09-16	1.08	1.42	10984	11983	1
1888-09-17	1.15	1.49	11184	12190	1
1888-09-18	1.36	1.70	11794	12823	1
1888-09-19	1.40	1.74	11912	12945	1
1888-09-20	1.47	1.81	12119	13160	1
1888-09-21	1.47	1.81	12119	13159	1
1888-09-22	1.50	1.84	12209	13252	1
1888-09-23	1.50	1.84	12209	13252	1
1888-09-24	1.50	1.84	12209	13252	1
1888-09-25	1.46	1.80	12090	13128	1
1888-09-26	1.46	1.80	12090	13128	1
1888-09-27	1.50	1.84	12209	13251	1
1888-09-28	1.55	1.89	12358	13406	1
1888-09-29	1.55	1.89	12358	13406	1
1888-09-30	1.58	1.92	12448	13499	1
1888-10-01	1.62	1.96	12569	13623	1
1888-10-02	1.72	2.06	12872	13937	1
1888-10-03	1.80	2.14	13117	14191	1
1888-10-04	1.97	2.31	13644	14736	1
1888-10-05	2.10	2.44	14054	15159	1
1888-10-06	2.22	2.56	14436	15553	1
1888-10-07	2.29	2.63	14661	15786	1
1888-10-08	2.38	2.72	14953	16087	1
1888-10-09	2.47	2.81	15247	16390	1
1888-10-10	2.57	2.91	15577	16731	1
1888-10-11	2.61	2.95	15709	16867	1
1888-10-12	2.65	2.99	15843	17005	1
1888-10-13	2.65	2.99	15843	17005	1
1888-10-14	2.70	3.04	16010	17177	1
1888-10-15	2.76	3.10	16212	17385	1
1888-10-16	2.77	3.11	16245	17420	1
1888-10-17	2.77	3.11	16245	17419	1
1888-10-18	2.76	3.10	16212	17384	1
1888-10-19	2.76	3.10	16212	17384	1
1888-10-20	2.84	3.18	16482	17663	1
1888-10-21	2.80	3.14	16347	17523	1
1888-10-22	2.77	3.11	16245	17419	1
1888-10-23	2.84	3.18	16482	17663	1
1888-10-24	2.84	3.18	16482	17663	1
1888-10-25	2.85	3.19	16516	17698	1
1888-10-26	2.99	3.33	16995	18191	1
1888-10-27	3.10	3.44	17376	18583	1
1888-10-28	3.15	3.49	17550	18763	1
1888-10-29	3.25	3.59	17901	19124	1
1888-10-30	3.36	3.70	18290	19525	1
1888-10-31	3.42	3.76	18504	19745	1
1888-11-01	3.54	3.88	18935	20189	1
1888-11-02	3.61	3.95	19189	20450	1
1888-11-03	3.67	4.01	19408	20674	1
1888-11-04	3.72	4.06	19591	20863	1
1888-11-05	3.79	4.13	19848	21127	1
1888-11-06	3.88	4.22	20182	21470	1
1888-11-07	3.97	4.31	20518	21815	1
1888-11-08	4.00	4.34	20630	21931	1
1888-11-09	4.05	4.39	20818	22124	1
1888-11-10	4.10	4.44	21007	22318	1
1888-11-11	4.12	4.46	21083	22396	1
1888-11-12	4.17	4.51	21273	22591	1
1888-11-13	4.26	4.60	21617	22944	1
1888-11-14	4.30	4.64	21771	23102	1
1888-11-15	4.40	4.74	22157	23499	1
1888-11-16	4.48	4.82	22468	23818	1
1888-11-17	4.57	4.91	22821	24180	1
1888-11-18	4.61	4.95	22978	24342	1
1888-11-19	4.65	4.99	23136	24504	1
1888-11-20	4.69	5.03	23295	24666	1
1888-11-21	4.70	5.04	23334	24707	1
1888-11-22	4.69	5.03	23295	24666	1
1888-11-23	4.67	5.01	23215	24584	1
1888-11-24	4.66	5.00	23176	24543	1
1888-11-25	4.65	4.99	23136	24502	1
1888-11-26	4.67	5.01	23215	24584	1
1888-11-27	4.66	5.00	23176	24543	1
1888-11-28	4.66	5.00	23176	24543	1
1888-11-29	4.60	4.94	22939	24299	1
1888-11-30	4.64	4.98	23097	24461	1
1888-12-01	4.66	5.00	23176	24542	1
1888-12-02	4.67	5.01	23215	24582	1
1888-12-03	4.66	5.00	23176	24542	1
1888-12-04	4.64	4.98	23097	24460	1
1888-12-05	4.61	4.95	22978	24338	1
1888-12-06	4.62	4.96	23018	24379	1
1888-12-07	4.66	5.00	23176	24541	1
1888-12-08	4.62	4.96	23018	24378	1
1888-12-09	4.60	4.94	22939	24297	1
1888-12-10	4.57	4.91	22821	24176	1
1888-12-11	4.53	4.87	22664	24014	1
1888-12-12	4.55	4.89	22742	24095	1
1888-12-13	4.58	4.92	22860	24216	1
1888-12-14	4.58	4.92	22860	24216	1
1888-12-15	4.56	4.90	22781	24135	1
1888-12-16	4.58	4.92	22860	24215	1
1888-12-17	4.59	4.93	22899	24255	1
1888-12-18	4.59	4.93	22899	24255	1
1888-12-19	4.56	4.90	22781	24134	1
1888-12-20	4.54	4.88	22703	24053	1
1888-12-21	4.53	4.87	22664	24013	1
1888-12-22	4.60	4.94	22939	24295	1
1888-12-23	4.47	4.81	22429	23771	1
1888-12-24	4.44	4.78	22312	23651	1
1888-12-25	4.43	4.77	22273	23611	1
1888-12-26	4.42	4.76	22234	23571	1
1888-12-27	4.41	4.75	22196	23531	1
1888-12-28	4.38	4.72	22079	23411	1
1888-12-29	4.36	4.70	22002	23332	1
1888-12-30	4.33	4.67	21886	23213	1
1888-12-31	4.32	4.66	21848	23173	1
1889-01-01	4.28	4.62	21694	23014	1
1889-01-02	4.24	4.58	21540	22857	1
1889-01-03	4.24	4.58	21540	22856	1
1889-01-04	4.21	4.55	21425	22738	1
1889-01-05	4.16	4.50	21235	22542	1
1889-01-06	4.15	4.49	21197	22503	1
1889-01-07	4.19	4.53	21349	22659	1
1889-01-08	4.20	4.54	21387	22698	1
1889-01-09	4.16	4.50	21235	22542	1
1889-01-10	4.12	4.46	21083	22385	1
1889-01-11	4.10	4.44	21007	22307	1
1889-01-12	4.16	4.50	21235	22541	1
1889-01-13	4.16	4.50	21235	22541	1
1889-01-14	4.17	4.51	21273	22580	1
1889-01-15	4.13	4.47	21121	22424	1
1889-01-16	4.15	4.49	21197	22501	1
1889-01-17	4.17	4.51	21273	22579	1
1889-01-18	4.18	4.52	21311	22618	1
1889-01-19	4.20	4.54	21387	22697	1
1889-01-20	4.20	4.54	21387	22696	1
1889-01-21	4.18	4.52	21311	22618	1
1889-01-22	4.23	4.57	21502	22814	1
1889-01-23	4.25	4.59	21579	22892	1
1889-01-24	4.23	4.57	21502	22814	1
1889-01-25	4.20	4.54	21387	22696	1
1889-01-26	4.20	4.54	21387	22695	1
1889-01-27	4.22	4.56	21464	22774	1
1889-01-28	4.25	4.59	21579	22891	1
1889-01-29	4.28	4.62	21694	23010	1
1889-01-30	4.32	4.66	21848	23167	1
1889-01-31	4.35	4.69	21963	23286	1
1889-02-01	4.35	4.69	21963	23286	1
1889-02-02	4.38	4.72	22079	23405	1
1889-02-03	4.37	4.71	22041	23365	1
1889-02-04	4.38	4.72	22079	23405	1
1889-02-05	4.40	4.74	22157	23484	1
1889-02-06	4.42	4.76	22234	23564	1
1889-02-07	4.42	4.76	22234	23563	1
1889-02-08	4.42	4.76	22234	23563	1
1889-02-09	4.45	4.79	22351	23683	1
1889-02-10	4.45	4.79	22351	23683	1
1889-02-11	4.44	4.78	22312	23643	1
1889-02-12	4.45	4.79	22351	23682	1
1889-02-13	4.44	4.78	22312	23642	1
1889-02-14	4.46	4.80	22390	23722	1
1889-02-15	4.49	4.83	22507	23842	1
1889-02-16	4.45	4.79	22351	23682	1
1889-02-17	4.44	4.78	22312	23642	1
1889-02-18	4.44	4.78	22312	23641	1
1889-02-19	4.45	4.79	22351	23681	1
1889-02-20	4.44	4.78	22312	23641	1
1889-02-21	4.45	4.79	22351	23681	1
1889-02-22	4.45	4.79	22351	23681	1
1889-02-23	4.43	4.77	22273	23601	1
1889-02-24	4.44	4.78	22312	23640	1
1889-02-25	4.43	4.77	22273	23600	1
1889-02-26	4.41	4.75	22196	23520	1
1889-02-27	4.43	4.77	22273	23600	1
1889-02-28	4.41	4.75	22196	23520	1
1889-03-01	4.38	4.72	22079	23400	1
1889-03-02	4.38	4.72	22079	23400	1
1889-03-03	4.37	4.71	22041	23360	1
1889-03-04	4.35	4.69	21963	23281	1
1889-03-05	4.34	4.68	21925	23241	1
1889-03-06	4.37	4.71	22041	23360	1
1889-03-07	4.36	4.70	22002	23320	1
1889-03-08	4.37	4.71	22041	23359	1
1889-03-09	4.38	4.72	22079	23399	1
1889-03-10	4.35	4.69	21963	23280	1
1889-03-11	4.31	4.65	21809	23121	1
1889-03-12	4.32	4.66	21848	23160	1
1889-03-13	4.32	4.66	21848	23160	1
1889-03-14	4.31	4.65	21809	23120	1
1889-03-15	4.31	4.65	21809	23120	1
1889-03-16	4.30	4.64	21771	23080	1
1889-03-17	4.31	4.65	21809	23120	1
1889-03-18	4.31	4.65	21809	23120	1
1889-03-19	4.32	4.66	21848	23159	1
1889-03-20	4.32	4.66	21848	23159	1
1889-03-21	4.33	4.67	21886	23198	1
1889-03-22	4.34	4.68	21925	23238	1
1889-03-23	4.33	4.67	21886	23198	1
1889-03-24	4.31	4.65	21809	23119	1
1889-03-25	4.30	4.64	21771	23079	1
1889-03-26	4.28	4.62	21694	23000	1
1889-03-27	4.28	4.62	21694	23000	1
1889-03-28	4.29	4.63	21732	23039	1
1889-03-29	4.28	4.62	21694	22999	1
1889-03-30	4.24	4.58	21540	22842	1
1889-03-31	4.24	4.58	21540	22841	1
1889-04-01	4.24	4.58	21540	22841	1
1889-04-02	4.25	4.59	21579	22880	1
1889-04-03	4.26	4.60	21617	22920	1
1889-04-04	4.27	4.61	21655	22959	1
1889-04-05	4.28	4.62	21694	22998	1
1889-04-06	4.27	4.60	21655	22958	1
1889-04-07	4.28	4.61	21694	22998	1
1889-04-08	4.28	4.61	21694	22998	1
1889-04-09	4.33	4.66	21886	23195	1
1889-04-10	4.22	4.55	21464	22761	1
1889-04-11	4.29	4.62	21732	23036	1
1889-04-12	4.34	4.67	21925	23234	1
1889-04-13	4.28	4.61	21694	22997	1
1889-04-14	4.27	4.60	21655	22957	1
1889-04-15	4.29	4.62	21732	23036	1
1889-04-16	4.30	4.63	21771	23075	1
1889-04-17	4.32	4.65	21848	23154	1
1889-04-18	4.32	4.65	21848	23154	1
1889-04-19	4.31	4.64	21809	23114	1
1889-04-20	4.31	4.64	21809	23114	1
1889-04-21	4.30	4.63	21771	23074	1
1889-04-22	4.31	4.64	21809	23114	1
1889-04-23	4.33	4.66	21886	23193	1
1889-04-24	4.35	4.68	21963	23272	1
1889-04-25	4.35	4.68	21963	23271	1
1889-04-26	4.36	4.69	22002	23311	1
1889-04-27	4.36	4.69	22002	23311	1
1889-04-28	4.34	4.67	21925	23231	1
1889-04-29	4.33	4.66	21886	23191	1
1889-04-30	4.31	4.64	21809	23112	1
1889-05-01	4.30	4.63	21771	23072	1
1889-05-02	4.30	4.63	21771	23072	1
1889-05-03	4.28	4.61	21694	22993	1
1889-05-04	4.27	4.60	21655	22954	1
1889-05-05	4.26	4.59	21617	22914	1
1889-05-06	4.25	4.58	21579	22874	1
1889-05-07	4.22	4.55	21464	22756	1
1889-05-08	4.23	4.56	21502	22795	1
1889-05-09	4.24	4.57	21540	22835	1
1889-05-10	4.22	4.55	21464	22756	1
1889-05-11	4.10	4.43	21007	22287	1
1889-05-12	4.14	4.47	21159	22442	1
1889-05-13	4.16	4.49	21235	22520	1
1889-05-14	4.19	4.52	21349	22637	1
1889-05-15	4.19	4.52	21349	22637	1
1889-05-16	4.20	4.53	21387	22676	1
1889-05-17	4.20	4.53	21387	22676	1
1889-05-18	4.21	4.54	21425	22715	1
1889-05-19	4.20	4.53	21387	22676	1
1889-05-20	4.22	4.55	21464	22754	1
1889-05-21	4.23	4.56	21502	22793	1
1889-05-22	4.24	4.57	21540	22832	1
1889-05-23	4.22	4.55	21464	22754	1
1889-05-24	4.23	4.56	21502	22793	1
1889-05-25	4.21	4.54	21425	22714	1
1889-05-26	4.23	4.56	21502	22792	1
1889-05-27	4.24	4.57	21540	22831	1
1889-05-28	4.25	4.58	21579	22871	1
1889-05-29	4.26	4.59	21617	22910	1
1889-05-30	4.25	4.58	21579	22870	1
1889-05-31	4.28	4.61	21694	22988	1
1889-06-01	4.27	4.60	21655	22949	1
1889-06-02	4.32	4.65	21848	23146	1
1889-06-03	4.30	4.63	21771	23067	1
1889-06-04	4.30	4.63	21771	23067	1
1889-06-05	4.31	4.64	21809	23106	1
1889-06-06	4.35	4.68	21963	23264	1
1889-06-07	4.33	4.66	21886	23185	1
1889-06-08	4.31	4.64	21809	23105	1
1889-06-09	4.31	4.64	21809	23105	1
1889-06-10	4.31	4.64	21809	23105	1
1889-06-11	4.30	4.63	21771	23065	1
1889-06-12	4.34	4.67	21925	23223	1
1889-06-13	4.36	4.69	22002	23303	1
1889-06-14	4.38	4.71	22079	23382	1
1889-06-15	4.37	4.70	22041	23342	1
1889-06-16	4.39	4.72	22118	23421	1
1889-06-17	4.40	4.73	22157	23461	1
1889-06-18	4.41	4.74	22196	23500	1
1889-06-19	4.41	4.74	22196	23500	1
1889-06-20	4.40	4.73	22157	23460	1
1889-06-21	4.41	4.74	22196	23500	1
1889-06-22	4.41	4.74	22196	23500	1
1889-06-23	4.39	4.72	22118	23420	1
