/* DATA DESCRIPTION:
Citation:	Antico, Andrés; Aguiar, Ricardo O; Amsler, Mario L (2017): Paraná River monthly hydrometric data from Rosario City, Argentina: 1875 to 2017. PANGAEA, https://doi.org/10.1594/PANGAEA.882612, 
	In supplement to: Antico, A et al. (2018): Hydrometric data rescue in the Paraná River Basin. Water Resources Research, 54, 1368-1381, https://doi.org/10.1002/2017WR020897
Coverage:	LATITUDE: -32.933630 * LONGITUDE: -60.643550
	DATE/TIME START: 1875-01-01T00:00:00 * DATE/TIME END: 2017-07-31T00:00:00
Event(s):	Paraná_River_Rosario * LATITUDE: -32.933630 * LONGITUDE: -60.643550 * LOCATION: Rosario City, Argentina, South America * METHOD/DEVICE: Hydrographic station (HYD)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar)
	Water level, monthly mean [m] (WL month mean) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: monthly, official
	Water level, monthly mean [m] (WL month mean) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: monthly, corrected
	River discharge, monthly mean [m**3/s] (Q month mean) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: monthly, official
	River discharge, monthly mean [m**3/s] (Q month mean) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: monthly, corrected
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	6844 data points
*/
Date/Time	WL month mean [m] (monthly, official)	WL month mean [m] (monthly, corrected)	Q month mean [m**3/s] (monthly, official)	Q month mean [m**3/s] (monthly, corrected)
1928-02	1.12	1.12	11165	11165
1928-03	2.02	2.02	13800	13800
1928-04	2.88	2.88	16613	16613
1928-05	3.51	3.51	18834	18834
1928-06	3.75	3.75	19684	19684
1928-07	3.98	3.98	20546	20546
1928-08	2.90	2.90	16709	16709
1928-09	2.50	2.50	15366	15366
1928-10	2.90	2.90	16703	16703
1928-11	3.60	3.60	19142	19142
1928-12	2.16	2.16	14269	14269
1929-01	2.91	2.91	16745	16745
1929-02	3.85	3.85	20072	20072
1929-03	4.70	4.70	23350	23350
1929-04	4.92	4.92	24223	24223
1929-05	4.13	4.13	21130	21130
1929-06	3.03	3.03	17137	17137
1929-07	2.42	2.42	15118	15118
1929-08	1.49	1.49	12199	12199
1929-09	2.22	2.22	14509	14509
1929-10	3.33	3.33	18193	18193
1929-11	3.86	3.86	20119	20119
1929-12	3.00	3.00	17050	17050
1930-01	3.04	3.04	17197	17197
1930-02	3.66	3.66	19366	19366
1930-03	4.13	4.13	21108	21108
1930-04	3.99	3.99	20601	20601
1930-05	3.51	3.51	18831	18831
1930-06	2.90	2.90	16688	16688
1930-07	1.66	1.66	12703	12703
1930-08	1.09	1.09	11030	11030
1930-09	1.36	1.36	11812	11812
1930-10	0.96	0.96	10670	10670
1930-11	3.04	3.04	17167	17167
1930-12	2.69	2.69	15987	15987
1931-01	3.53	3.53	18916	18916
1931-02	4.16	4.16	21241	21241
1931-03	4.27	4.27	21663	21663
1931-04	4.76	4.76	23571	23571
1931-05	4.65	4.65	23129	23129
1931-06	4.73	4.73	23454	23454
1931-07	4.78	4.78	23642	23642
1931-08	3.94	3.94	20447	20447
1931-09	2.64	2.64	15804	15804
1931-10	2.69	2.69	15968	15968
1931-11	2.70	2.70	16001	16001
1931-12	2.60	2.60	15684	15684
1932-01	2.96	2.96	16900	16900
1932-02	3.58	3.58	19083	19083
1932-03	4.00	4.00	20641	20641
1932-04	4.20	4.20	21389	21389
1932-05	4.56	4.56	22794	22794
1932-06	4.48	4.48	22461	22461
1932-07	4.37	4.37	22037	22037
1932-08	3.76	3.76	19738	19738
1932-09	2.70	2.70	16017	16017
1932-10	3.23	3.23	17875	17875
1932-11	3.67	3.67	19405	19405
1932-12	3.39	3.39	18385	18385
1933-01	3.75	3.75	19716	19716
1933-02	4.01	4.01	20661	20661
1933-03	4.13	4.13	21117	21117
1933-04	3.65	3.65	19338	19338
1933-05	2.72	2.72	16089	16089
1933-06	1.81	1.81	13179	13179
1933-07	1.14	1.14	11169	11169
1933-08	0.77	0.77	10106	10106
1933-09	0.51	0.51	9411	9411
1933-10	0.76	0.76	10086	10086
1933-11	0.92	0.92	10552	10552
1933-12	0.17	0.17	8536	8536
1934-01	1.63	1.63	12609	12609
1934-02	2.31	2.31	14730	14730
1934-03	2.38	2.38	14973	14973
1934-04	2.15	2.15	14216	14216
1934-05	1.93	1.93	13545	13545
1934-06	0.72	0.72	9990	9990
1934-07	0.28	0.28	8804	8804
1934-08	0.00	0.00	8098	8098
1934-09	-0.31	-0.31	7322	7322
1934-10	0.03	0.03	8157	8157
1934-11	0.00	0.00	8117	8117
1934-12	0.14	0.14	8492	8492
1935-01	2.08	2.08	14018	14018
1935-02	2.54	2.54	15473	15473
1935-03	3.34	3.34	18215	18215
1935-04	3.39	3.39	18400	18400
1935-05	2.54	2.54	15504	15504
1935-06	1.68	1.68	12743	12743
1935-07	2.15	2.15	14221	14221
1935-08	2.40	2.40	15037	15037
1935-09	2.28	2.28	14678	14678
1935-10	3.24	3.24	17912	17912
1935-11	4.25	4.25	21599	21599
1935-12	3.85	3.85	20096	20096
1936-01	3.79	3.79	19847	19847
1936-02	3.71	3.71	19613	19613
1936-03	2.34	2.34	14832	14832
1936-04	2.47	2.47	15285	15285
1936-05	2.17	2.17	14282	14282
1936-06	2.49	2.49	15418	15418
1936-07	3.33	3.33	18218	18218
1936-08	2.08	2.08	14017	14017
1936-09	1.45	1.45	12055	12055
1936-10	1.20	1.20	11337	11337
1936-11	0.45	0.45	9242	9242
1936-12	0.47	0.47	9338	9338
1937-01	2.16	2.16	14276	14276
1937-02	3.30	3.30	18097	18097
1937-03	3.15	3.15	17536	17536
1937-04	2.72	2.72	16091	16091
1937-05	2.34	2.34	14843	14843
1937-06	1.95	1.95	13578	13578
1937-07	0.88	0.88	10432	10432
1937-08	0.20	0.20	8613	8613
1937-09	0.28	0.28	8821	8821
1937-10	0.26	0.26	8781	8781
1937-11	1.13	1.13	11157	11157
1937-12	2.70	2.70	16034	16034
1938-01	2.57	2.57	15583	15583
1938-02	3.14	3.14	17520	17520
1938-03	3.64	3.64	19285	19285
1938-04	3.34	3.34	18242	18242
1938-05	2.81	2.81	16393	16393
1938-06	3.21	3.21	17764	17764
1938-07	3.40	3.40	18444	18444
1938-08	2.37	2.37	15020	15020
1938-09	0.33	0.33	8964	8964
1938-10	-0.10	-0.10	7867	7867
1938-11	0.40	0.40	9133	9133
1938-12	0.44	0.44	9246	9246
1939-01	1.94	1.94	13601	13601
1939-02	2.40	2.40	15029	15029
1939-03	2.92	2.92	16755	16755
1939-04	2.84	2.84	16480	16480
1939-05	2.41	2.41	15056	15056
1939-06	2.85	2.85	16506	16506
1939-07	2.28	2.28	14669	14669
1939-08	0.90	0.90	10484	10484
1939-09	0.48	0.48	9361	9361
1939-10	1.37	1.37	11836	11836
1939-11	1.94	1.94	13582	13582
1939-12	3.37	3.37	18331	18331
1940-01	4.11	4.11	21033	21033
1940-02	4.02	4.02	20690	20690
1940-03	3.93	3.93	20368	20368
1940-04	4.19	4.19	21355	21355
1940-05	4.23	4.23	21514	21514
1940-06	3.92	3.92	20347	20347
1940-07	3.63	3.63	19273	19273
1940-08	3.33	3.33	18176	18176
1940-09	2.63	2.63	15781	15781
1940-10	1.46	1.46	12114	12114
1940-11	1.23	1.23	11429	11429
1940-12	2.84	2.84	16505	16505
1941-01	2.62	2.62	15763	15763
1941-02	2.89	2.89	16671	16671
1941-03	3.18	3.18	17685	17685
1941-04	3.37	3.37	18334	18334
1941-05	4.18	4.18	21301	21301
1941-06	3.62	3.62	19232	19232
1941-07	2.82	2.82	16451	16451
1941-08	2.72	2.72	16102	16102
1941-09	1.94	1.94	13623	13623
1941-10	1.93	1.93	13522	13522
1941-11	1.49	1.49	12199	12199
1941-12	3.04	3.04	17179	17179
1942-01	3.67	3.67	19427	19427
1942-02	3.37	3.37	18319	18319
1942-03	3.61	3.61	19186	19186
1942-04	3.98	3.98	20544	20544
1942-05	4.23	4.23	21521	21521
1942-06	4.41	4.41	22193	22193
1942-07	4.39	4.39	22104	22104
1942-08	3.73	3.73	19642	19642
1942-09	2.25	2.25	14554	14554
1942-10	2.19	2.19	14355	14355
1942-11	1.56	1.56	12387	12387
1942-12	1.06	1.06	10929	10929
1943-01	1.91	1.91	13500	13500
1943-02	3.01	3.01	17085	17085
1943-03	3.47	3.47	18683	18683
1943-04	3.67	3.67	19413	19413
1943-05	2.39	2.39	15021	15021
1943-06	2.06	2.06	13963	13963
1943-07	2.30	2.30	14707	14707
1943-08	1.16	1.16	11210	11210
1943-09	0.37	0.37	9047	9047
1943-10	0.95	0.95	10630	10630
1943-11	2.04	2.04	13862	13862
1943-12	2.24	2.24	14493	14493
1944-01	2.18	2.18	14325	14325
1944-02	1.46	1.46	12087	12087
1944-03	2.38	2.38	14959	14959
1944-04	2.55	2.55	15556	15556
1944-05	1.04	1.04	10884	10884
1944-06	0.16	0.16	8488	8488
1944-07	-0.30	-0.30	7350	7350
1944-08	-0.81	-0.81	6141	6141
1944-09	-1.14	-1.14	5418	5418
1944-10	-1.01	-1.01	5706	5706
1944-11	-0.73	-0.73	6363	6363
1944-12	0.05	0.05	8227	8227
1945-01	-0.39	-0.39	7145	7145
1945-02	1.14	1.14	11220	11220
1945-03	2.78	2.78	16286	16286
1945-04	2.91	2.91	16736	16736
1945-05	2.30	2.30	14729	14729
1945-06	0.84	0.84	10319	10319
1945-07	1.27	1.27	11585	11585
1945-08	0.77	0.77	10157	10157
1945-09	0.10	0.10	8346	8346
1945-10	0.21	0.21	8621	8621
1945-11	0.42	0.42	9184	9184
1945-12	1.18	1.18	11301	11301
1946-01	2.35	2.35	14902	14902
1946-02	3.49	3.49	18752	18752
1946-03	4.11	4.11	21061	21061
1946-04	4.38	4.38	22083	22083
1946-05	4.05	4.05	20837	20837
1946-06	3.86	3.86	20099	20099
1946-07	3.76	3.76	19745	19745
1946-08	3.85	3.85	20071	20071
1946-09	2.18	2.18	14393	14393
1946-10	1.48	1.48	12157	12157
1946-11	2.77	2.77	16259	16259
1946-12	2.41	2.41	15079	15079
1947-01	3.10	3.10	17381	17381
1947-02	3.58	3.58	19072	19072
1947-03	3.86	3.86	20125	20125
1947-04	4.33	4.33	21892	21892
1947-05	4.38	4.38	22093	22093
1947-06	4.01	4.01	20683	20683
1947-07	3.60	3.60	19151	19151
1947-08	2.75	2.75	16190	16190
1947-09	2.28	2.28	14632	14632
1947-10	3.20	3.20	17717	17717
1947-11	2.36	2.36	14910	14910
1947-12	0.88	0.88	10434	10434
1948-01	2.33	2.33	14821	14821
1948-02	2.60	2.60	15698	15698
1948-03	3.34	3.34	18230	18230
1948-04	3.44	3.44	18585	18585
1948-05	2.71	2.71	16087	16087
1948-06	1.67	1.67	12731	12731
1948-07	0.83	0.83	10292	10292
1948-08	0.93	0.93	10566	10566
1948-09	0.03	0.03	8189	8189
1948-10	0.40	0.40	9126	9126
1948-11	1.19	1.19	11345	11345
1948-12	1.20	1.20	11342	11342
1949-01	1.36	1.36	11803	11803
1949-02	2.14	2.14	14230	14230
1949-03	3.26	3.26	17951	17951
1949-04	3.10	3.10	17390	17390
1949-05	1.99	1.99	13711	13711
1949-06	1.59	1.59	12500	12500
1949-07	1.81	1.81	13172	13172
1949-08	0.48	0.48	9345	9345
1949-09	0.14	0.14	8430	8430
1949-10	0.22	0.22	8642	8642
1949-11	-0.44	-0.44	7004	7004
1949-12	-0.36	-0.36	7229	7229
1950-01	1.75	1.75	12978	12978
1950-02	2.53	2.53	15475	15475
1950-03	3.54	3.54	18951	18951
1950-04	3.91	3.91	20305	20305
1950-05	3.59	3.59	19130	19130
1950-06	2.66	2.66	15876	15876
1950-07	2.84	2.84	16481	16481
1950-08	1.28	1.28	11595	11595
1950-09	0.48	0.48	9343	9343
1950-10	0.68	0.68	9918	9918
1950-11	1.56	1.56	12411	12411
1950-12	1.98	1.98	13725	13725
1951-01	2.06	2.06	13937	13937
1951-02	3.24	3.24	17898	17898
1951-03	4.00	4.00	20653	20653
1951-04	4.54	4.54	22710	22710
1951-05	4.13	4.13	21163	21163
1951-06	2.13	2.13	14174	14174
1951-07	1.14	1.14	11168	11168
1951-08	0.33	0.33	8946	8946
1951-09	-0.05	-0.05	7971	7971
1951-10	-0.38	-0.38	7169	7169
1951-11	1.21	1.21	11364	11364
1951-12	1.56	1.56	12417	12417
1952-01	0.72	0.72	9998	9998
1952-02	1.58	1.58	12484	12484
1952-03	2.85	2.85	16526	16526
1952-04	3.63	3.63	19268	19268
1952-05	2.69	2.69	16026	16026
1952-06	1.99	1.99	13712	13712
1952-07	1.90	1.90	13456	13456
1952-08	1.03	1.03	10861	10861
1952-09	0.35	0.35	8986	8986
1952-10	1.62	1.62	12614	12614
1952-11	2.50	2.50	15358	15358
1952-12	2.08	2.08	14077	14077
1953-01	0.98	0.98	10735	10735
1953-02	0.77	0.77	10115	10115
1953-03	1.02	1.02	10827	10827
1953-04	1.53	1.53	12336	12336
1953-05	1.85	1.85	13262	13262
1953-06	2.09	2.09	14016	14016
1953-07	1.60	1.60	12533	12533
1953-08	0.16	0.16	8504	8504
1953-09	-0.10	-0.10	7854	7854
1953-10	1.68	1.68	12761	12761
1953-11	2.93	2.93	16822	16822
1953-12	2.92	2.92	16778	16778
1954-01	1.98	1.98	13698	13698
1954-02	2.54	2.54	15494	15494
1954-03	2.86	2.86	16547	16547
1954-04	2.09	2.09	14032	14032
1954-05	2.11	2.11	14109	14109
1954-06	3.73	3.73	19629	19629
1954-07	4.24	4.24	21559	21559
1954-08	3.77	3.77	19799	19799
1954-09	1.79	1.79	13098	13098
1954-10	2.21	2.21	14464	14464
1954-11	2.52	2.52	15470	15470
1954-12	0.41	0.41	9153	9153
1955-01	0.81	0.81	10223	10223
1955-02	1.61	1.61	12553	12553
1955-03	1.12	1.12	11115	11115
1955-04	2.35	2.35	14874	14874
1955-05	2.69	2.69	15997	15997
1955-06	2.52	2.52	15410	15410
1955-07	3.54	3.54	18952	18952
1955-08	2.64	2.64	15921	15921
1955-09	1.75	1.75	12971	12971
1955-10	0.04	0.04	8197	8197
1955-11	0.03	0.03	8195	8195
1955-12	-0.26	-0.26	7462	7462
1956-01	1.59	1.59	12528	12528
1956-02	1.93	1.93	13531	13531
1956-03	1.51	1.51	12255	12255
1956-04	2.38	2.38	14997	14997
1956-05	3.37	3.37	18344	18344
1956-06	3.89	3.89	20221	20221
1956-07	4.15	4.15	21184	21184
1956-08	3.94	3.94	20401	20401
1956-09	3.79	3.79	19846	19846
1956-10	3.22	3.22	17812	17812
1956-11	2.28	2.28	14645	14645
1956-12	1.44	1.44	12061	12061
1957-01	1.58	1.58	12500	12500
1957-02	2.72	2.72	16098	16098
1957-03	3.54	3.54	18925	18925
1957-04	3.79	3.79	19852	19852
1957-05	3.65	3.65	19334	19334
1957-06	3.14	3.14	17513	17513
1957-07	3.05	3.05	17210	17210
1957-08	3.53	3.53	18910	18910
1957-09	3.92	3.92	20323	20323
1957-10	4.29	4.29	21748	21748
1957-11	4.02	4.02	20724	20724
1957-12	3.10	3.10	17367	17367
1958-01	3.20	3.20	17743	17743
1958-02	2.79	2.79	16333	16333
1958-03	3.41	3.41	18483	18483
1958-04	3.53	3.53	18890	18890
1958-05	3.35	3.35	18264	18264
1958-06	2.78	2.78	16290	16290
1958-07	2.33	2.33	14800	14800
1958-08	2.01	2.01	13796	13796
1958-09	1.57	1.57	12453	12453
1958-10	2.80	2.80	16355	16355
1958-11	2.73	2.73	16118	16118
1958-12	3.41	3.41	18475	18475
1959-01	3.75	3.75	19703	19703
1959-02	4.09	4.09	20954	20954
1959-03	4.68	4.68	23259	23259
1959-04	4.68	4.68	23262	23262
1959-05	4.62	4.62	23012	23012
1959-06	4.11	4.11	21056	21056
1959-07	3.53	3.53	18926	18926
1959-08	2.44	2.44	15156	15156
1959-09	2.22	2.22	14428	14428
1959-10	2.39	2.39	14990	14990
1959-11	2.76	2.76	16214	16214
1959-12	2.33	2.33	14816	14816
1960-01	2.90	2.90	16701	16701
1960-02	3.33	3.33	18183	18183
1960-03	3.71	3.71	19570	19570
1960-04	3.60	3.60	19162	19162
1960-05	2.77	2.77	16286	16286
1960-06	2.18	2.18	14305	14305
1960-07	2.20	2.20	14394	14394
1960-08	1.43	1.43	11999	11999
1960-09	1.74	1.74	12938	12938
1960-10	2.15	2.15	14222	14222
1960-11	3.20	3.20	17725	17725
1960-12	3.15	3.15	17584	17584
1961-01	2.86	2.86	16598	16598
1961-02	3.63	3.63	19253	19253
1961-03	3.89	3.89	20223	20223
1961-04	4.69	4.69	23319	23319
1961-05	4.93	4.93	24237	24237
1961-06	4.68	4.68	23262	23262
1961-07	4.04	4.04	20775	20775
1961-08	2.38	2.38	15017	15017
1961-09	1.40	1.40	11933	11933
1961-10	1.77	1.77	13022	13022
1961-11	2.51	2.51	15379	15379
1961-12	2.95	2.95	16885	16885
1962-01	2.15	2.15	14221	14221
1962-02	2.89	2.89	16664	16664
1962-03	3.44	3.44	18581	18581
1962-04	3.92	3.92	20344	20344
1962-05	2.64	2.64	15848	15848
1962-06	1.72	1.72	12889	12889
1962-07	0.87	0.87	10417	10417
1962-08	0.16	0.16	8493	8493
1962-09	0.06	0.06	8250	8250
1962-10	1.50	1.50	12269	12269
1962-11	1.74	1.74	12958	12958
1962-12	0.91	0.91	10514	10514
1963-01	2.48	2.48	15327	15327
1963-02	3.61	3.61	19186	19186
1963-03	3.83	3.83	19983	19983
1963-04	3.48	3.48	18731	18731
1963-05	2.46	2.46	15230	15230
1963-06	1.75	1.75	12961	12961
1963-07	1.25	1.25	11495	11495
1963-08	0.40	0.40	9126	9126
1963-09	0.19	0.19	8568	8568
1963-10	0.44	0.44	9250	9250
1963-11	2.31	2.31	14857	14857
1963-12	3.10	3.10	17388	17388
1964-01	1.10	1.10	11082	11082
1964-02	1.26	1.26	11500	11500
1964-03	3.09	3.09	17360	17360
1964-04	2.72	2.72	16073	16073
1964-05	2.94	2.94	16824	16824
1964-06	1.46	1.46	12148	12148
1964-07	0.66	0.66	9833	9833
1964-08	0.23	0.23	8669	8669
1964-09	1.00	1.00	10769	10769
1964-10	0.49	0.49	9363	9363
1964-11	0.44	0.44	9233	9233
1964-12	0.94	0.94	10610	10610
1965-01	1.98	1.98	13706	13706
1965-02	2.92	2.92	16758	16758
1965-03	3.71	3.71	19547	19547
1965-04	4.42	4.42	22219	22219
1965-05	4.30	4.30	21790	21790
1965-06	4.34	4.34	21934	21934
1965-07	4.32	4.32	21833	21833
1965-08	3.81	3.81	19953	19953
1965-09	2.65	2.65	15873	15873
1965-10	2.59	2.59	15710	15710
1965-11	3.74	3.74	19657	19657
1965-12	3.77	3.77	19794	19794
1966-01	4.38	4.38	22078	22078
1966-02	5.11	5.11	24990	24990
1966-03	5.62	5.62	27140	27140
1966-04	5.54	5.54	26783	26783
1966-05	4.80	4.80	23738	23738
1966-06	3.82	3.82	19976	19976
1966-07	2.66	2.66	15903	15903
1966-08	1.48	1.48	12193	12193
1966-09	1.03	1.03	10863	10863
1966-10	1.11	1.11	11100	11100
1966-11	2.46	2.46	15224	15224
1966-12	2.39	2.39	14982	14982
1967-01	2.81	2.81	16397	16397
1967-02	3.50	3.50	18775	18775
1967-03	3.89	3.89	20210	20210
1967-04	4.19	4.19	21367	21367
1967-05	2.77	2.77	16319	16319
1967-06	1.45	1.45	12071	12071
1967-07	1.55	1.55	12369	12369
1967-08	1.32	1.32	11722	11722
1967-09	1.08	1.08	11009	11009
1967-10	1.04	1.04	10879	10879
1967-11	0.73	0.73	10026	10026
1967-12	1.09	1.09	11063	11063
1968-01	1.64	1.64	12624	12624
1968-02	2.81	2.81	16402	16402
1968-03	2.52	2.52	15427	15427
1968-04	1.75	1.75	13009	13009
1968-05	0.91	0.91	10515	10515
1968-06	0.39	0.39	9100	9100
1968-07	0.12	0.12	8404	8404
1968-08	-0.15	-0.15	7718	7718
1968-09	-0.31	-0.31	7320	7320
1968-10	0.25	0.25	8744	8744
1968-11	1.52	1.52	12296	12296
1968-12	0.56	0.56	9553	9553
1969-01	2.17	2.17	14380	14380
1969-02	2.36	2.36	14877	14877
1969-03	1.95	1.95	13613	13613
1969-04	1.68	1.68	12800	12800
1969-05	1.55	1.55	12348	12348
1969-06	2.33	2.33	14860	14860
1969-07	2.54	2.54	15528	15528
1969-08	0.42	0.42	9216	9216
1969-09	-0.61	-0.61	6609	6609
1969-10	1.02	1.02	11027	11027
1969-11	2.09	2.09	14044	14044
1969-12	2.75	2.75	16197	16197
1970-01	1.77	1.77	13018	13018
1970-02	2.48	2.48	15304	15304
1970-03	2.72	2.72	16096	16096
1970-04	2.60	2.60	15734	15734
1970-05	1.07	1.07	10975	10975
1970-06	0.82	0.82	10285	10285
1970-07	2.01	2.01	13778	13778
1970-08	0.70	0.70	9969	9969
1970-09	-0.04	-0.04	8010	8010
1970-10	1.84	1.84	13271	13271
1970-11	1.35	1.35	11862	11862
1970-12	0.23	0.23	8681	8681
1971-01	2.39	2.39	15091	15091
1971-02	3.93	3.93	20366	20366
1971-03	3.33	3.33	18186	18186
1971-04	3.11	3.11	17415	17415
1971-05	3.05	3.05	17200	17200
1971-06	3.02	3.02	17105	17105
1971-07	3.13	3.13	17478	17478
1971-08	2.12	2.12	14119	14119
1971-09	1.04	1.04	10870	10870
1971-10	0.87	0.87	10402	10402
1971-11	0.64	0.64	9791	9791
1971-12	0.40	0.40	9157	9157
1972-01	1.62	1.62	12580	12580
1972-02	1.77	1.77	13073	13073
1972-03	3.15	3.15	17572	17572
1972-04	3.18	3.18	17670	17670
1972-05	1.98	1.98	13730	13730
1972-06	2.07	2.07	14001	14001
1972-07	2.05	2.05	13928	13928
1972-08	2.38	2.38	14953	14953
1972-09	3.12	3.12	17473	17473
1972-10	3.57	3.57	19061	19061
1972-11	4.13	4.13	21115	21115
1972-12	4.07	4.07	20908	20908
1973-01	4.23	4.23	21501	21501
1973-02	4.40	4.40	22172	22172
1973-03	4.63	4.63	23059	23059
1973-04	4.39	4.39	22123	22123
1973-05	4.32	4.32	21857	21857
1973-06	4.14	4.14	21168	21168
1973-07	4.05	4.05	20811	20811
1973-08	3.49	3.49	18789	18789
1973-09	3.14	3.14	17521	17521
1973-10	3.25	3.25	17903	17903
1973-11	3.15	3.15	17576	17576
1973-12	2.47	2.47	15258	15258
1974-01	3.04	3.04	17191	17191
1974-02	4.01	4.01	20656	20656
1974-03	4.29	4.29	21740	21740
1974-04	4.11	4.11	21030	21030
1974-05	4.31	4.31	21829	21829
1974-06	3.93	3.93	20374	20374
1974-07	3.83	3.83	20000	20000
1974-08	3.43	3.43	18561	18561
1974-09	2.88	2.88	16639	16639
1974-10	1.99	1.99	13732	13732
1974-11	2.05	2.05	13930	13930
1974-12	2.14	2.14	14191	14191
1975-01	2.72	2.72	16106	16106
1975-02	3.34	3.34	18225	18225
1975-03	3.39	3.39	18401	18401
1975-04	3.22	3.22	17783	17783
1975-05	3.42	3.42	18515	18515
1975-06	2.82	2.82	16409	16409
1975-07	2.03	2.03	13838	13838
1975-08	2.07	2.07	13964	13964
1975-09	1.95	1.95	13601	13601
1975-10	3.01	3.01	17058	17058
1975-11	3.31	3.31	18111	18111
1975-12	3.13	3.13	17488	17488
1976-01	3.66	3.66	19379	19379
1976-02	3.73	3.73	19626	19626
1976-03	4.01	4.01	20652	20652
1976-04	3.85	3.85	20062	20062
1976-05	2.96	2.96	16957	16957
1976-06	2.78	2.78	16310	16310
1976-07	2.99	2.99	17036	17036
1976-08	2.46	2.46	15219	15219
1976-09	2.78	2.78	16300	16300
1976-10	2.70	2.70	16024	16024
1976-11	3.16	3.16	17579	17579
1976-12	3.50	3.50	18792	18792
1977-01	3.86	3.86	20112	20112
1977-02	4.56	4.56	22789	22789
1977-03	5.26	5.26	25629	25629
1977-04	4.36	4.36	21989	21989
1977-05	3.93	3.93	20388	20388
1977-06	2.83	2.83	16476	16476
1977-07	2.80	2.80	16358	16358
1977-08	2.24	2.24	14494	14494
1977-09	1.91	1.91	13467	13467
1977-10	1.97	1.97	13641	13641
1977-11	2.12	2.12	14105	14105
1977-12	2.91	2.91	16731	16731
1978-01	3.57	3.57	19036	19036
1978-02	3.89	3.89	20209	20209
1978-03	3.50	3.50	18800	18800
1978-04	3.20	3.20	17740	17740
1978-05	1.67	1.67	12751	12751
1978-06	1.66	1.66	12682	12682
1978-07	1.92	1.92	13497	13497
1978-08	2.65	2.65	15869	15869
1978-09	2.24	2.24	14522	14522
1978-10	2.33	2.33	14844	14844
1978-11	2.24	2.24	14503	14503
1978-12	2.89	2.89	16684	16684
1979-01	2.28	2.28	14632	14632
1979-02	3.14	3.14	17522	17522
1979-03	3.64	3.64	19286	19286
1979-04	3.41	3.41	18467	18467
1979-05	3.01	3.01	17074	17074
1979-06	3.79	3.79	19865	19865
1979-07	3.60	3.60	19137	19137
1979-08	3.22	3.22	17782	17782
1979-09	3.50	3.50	18802	18802
1979-10	3.93	3.93	20381	20381
1979-11	4.25	4.25	21575	21575
1979-12	4.36	4.36	21999	21999
1980-01	4.12	4.12	21102	21102
1980-02	4.00	4.00	20643	20643
1980-03	4.48	4.48	22474	22474
1980-04	4.74	4.74	23499	23499
1980-05	4.04	4.04	20775	20775
1980-06	3.77	3.77	19790	19790
1980-07	3.54	3.54	18949	18949
1980-08	3.44	3.44	18560	18560
1980-09	3.34	3.34	18208	18208
1980-10	3.64	3.64	19293	19293
1980-11	3.67	3.67	19408	19408
1980-12	3.46	3.46	18645	18645
1981-01	3.75	3.75	19723	19723
1981-02	4.50	4.50	22548	22548
1981-03	4.68	4.68	23259	23259
1981-04	4.01	4.01	20670	20670
1981-05	3.80	3.80	19887	19887
1981-06	3.34	3.34	18224	18224
1981-07	2.85	2.85	16535	16535
1981-08	2.23	2.23	14473	14473
1981-09	1.92	1.92	13503	13503
1981-10	1.88	1.88	13360	13360
1981-11	2.15	2.15	14212	14212
1981-12	2.78	2.78	16335	16335
1982-01	3.90	3.90	20258	20258
1982-02	4.30	4.30	21769	21769
1982-03	4.28	4.28	21708	21708
1982-04	4.29	4.29	21715	21715
1982-05	4.43	4.43	22276	22276
1982-06	3.94	3.94	20424	20424
1982-07	4.22	4.22	21484	21484
1982-08	4.88	4.88	24047	24047
1982-09	4.72	4.72	23416	23416
1982-10	4.22	4.22	21450	21450
1982-11	3.56	3.56	19005	19005
1982-12	4.64	4.64	23138	23138
1983-01	5.77	5.77	27773	27773
1983-02	5.71	5.71	27488	27488
1983-03	5.99	5.99	28724	28724
1983-04	5.69	5.69	27424	27424
1983-05	5.50	5.50	26608	26608
1983-06	5.88	5.88	28218	28218
1983-07	5.87	5.87	28175	28175
1983-08	5.40	5.40	26199	26199
1983-09	4.63	4.63	23073	23073
1983-10	4.62	4.62	23035	23035
1983-11	4.74	4.74	23505	23505
1983-12	4.49	4.49	22501	22501
1984-01	4.32	4.32	21851	21851
1984-02	4.53	4.53	22683	22683
1984-03	4.14	4.14	21179	21179
1984-04	3.68	3.68	19440	19440
1984-05	3.83	3.83	19993	19993
1984-06	3.97	3.97	20511	20511
1984-07	3.94	3.94	20423	20423
1984-08	3.26	3.26	17952	17952
1984-09	3.27	3.27	17984	17984
1984-10	3.43	3.43	18552	18552
1984-11	3.67	3.67	19404	19404
1984-12	3.90	3.90	20268	20268
1985-01	3.86	3.86	20100	20100
1985-02	3.74	3.74	19679	19679
1985-03	4.37	4.37	22024	22024
